POCO;CADASTRO;OPERADOR;POCO_OPERADOR;ESTADO;BACIA;BLOCO;SIG_CAMPO;CAMPO;TERRA_MAR;POCO_POS_ANP;TIPO;CATEGORIA;RECLASSIFICACAO;SITUACAO;INÍCIO;TÉRMINO;CONCLUSAO;TITULARIDADE;LATITUDE_BASE_4C;LONGITUDE_BASE_4C;LATITUDE_BASE_DD;LONGITUDE_BASE_DD;DATUM_HORIZONTAL;TIPO_DE_COORDENADA_DE_BASE;DIRECAO;PROFUNDIDADE_VERTICAL_M;PROFUNDIDADE_SONDADOR_M;PROFUNDIDADE_MEDIDA_M;REFERENCIA_DE_PROFUNDIDADE;MESA_ROTATIVA;COTA_ALTIMETRICA_M;LAMINA_D_AGUA_M;DATUM_VERTICAL;UNIDADE_ESTRATIGRAFICA;GEOLOGIA_GRUPO_FINAL;GEOLOGIA_FORMACAO_FINAL;GEOLOGIA_MEMBRO_FINAL;CDPE;AGP;PC;PAG;PERFIS_CONVENCIONAIS;DURANTE_PERFURACAO;PERFIS_DIGITAIS;PERFIS_PROCESSADOS;PERFIS_ESPECIAIS;AMOSTRA_LATERAL;SISMICA;TABELA_TEMPO_PROFUNDIDADE;DADOS_DIRECIONAIS;TESTE_A_CABO;TESTE_DE_FORMACAO;CANHONEIO;TESTEMUNHO;GEOQUIMICA;SIG_SONDA;NOM_SONDA;ATINGIU_PRESAL;DHA_ATUALIZACAO
1-AA-1-RN;7,21001E+11;;1AA  0001  RN;RN;Potiguar;Brasil;;;T;N;1;Pioneiro;SECO SEM INDÍCIOS;CEDIDO PARA A CAPTAÇÃO DE ÁGUA;21/01/1984;29/01/1984;29/01/1984;Público;"	-04:55:05,108";"	-37:13:28,721";-4,918085556;-37,22464472;SIRGAS2000;Definitiva;Vertical;;1062;;MR;14;;;;;;;;;;Existe;;;;Existe;;;;;;;;;;;Existe;CC-1                          ;;;14/09/2025
1-ABV-1D-RN;7,21001E+11;PetroRecôncavo;1ABV 0001D RN;RN;Potiguar;BT-POT-9;PAT  ;PATATIVA;T;N;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO;17/03/1997;23/05/1997;23/05/1997;Público;"	-05:25:05,784";"	-37:38:39,104";-5,418273333;-37,64419556;SIRGAS2000;Definitiva;Direcional;;3755;;MR;106;;;;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;SC-110;SONDA CONVENCIONAL 110;;14/09/2025
1-AB-1A-SE;9,012E+11;;1AB  0001A SE;SE;Sergipe;Brasil;;;T;N;1;Pioneiro;ABANDONADO POR ACIDENTE MECÂNICO;DEVOLVIDO;11/11/1963;30/06/1964;30/06/1964;Público;"	-11:03:09,219";"	-37:08:43,041";-11,05256083;-37,14528917;SIRGAS2000;Definitiva;Vertical;;3341,5;;MR;8;;;;;;;;;;Existe;;;;Existe;;;;;;;;;;;Existe;SC-61;SONDA CONVENCIONAL 61;;14/09/2025
1-AB-1-BA;2,022E+11;;1AB  0001  BA;BA;Tucano Central;Brasil;;;T;N;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;12/01/1964;21/02/1964;21/02/1964;Público;"	-09:59:16,784";"	-38:40:35,601";-9,987995556;-38,67655583;SIRGAS2000;Definitiva;Vertical;;1670;;MR;304,39999;;;;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;SC-53;SONDA CONVENCIONAL 53;;14/09/2025
1-AB-1-PA;6,003E+11;;1AB  0001  PA;PA;Amazonas;Brasil;;;T;N;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO AGUARDANDO ABANDONO DEFINITIVO/ARRASAMENTO;18/06/1990;16/07/1990;16/07/1990;Público;"	-03:34:49,045";"	-54:50:00,714";-3,580290278;-54,83353167;SIRGAS2000;Definitiva;Vertical;;1380;;MR;96;;;;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;SM-1                          ;;;14/09/2025
1-AB-1-SE;9,012E+11;;1AB  0001  SE;SE;Sergipe;Brasil;;;T;N;1;Pioneiro;ABANDONADO POR ACIDENTE MECÂNICO;DEVOLVIDO;14/10/1963;17/10/1963;17/10/1963;Público;"	-11:03:09,403";"	-37:08:43,146";-11,05261194;-37,14531833;SIRGAS2000;Definitiva;Vertical;;195;;MR;8;;;;;;;;;;;;;;;;;;;;;;;;;;SC-61;SONDA CONVENCIONAL 61;;14/09/2025
1-AB-1-SP;8,63001E+11;;1AB  0001  SP;SP;Paraná;Brasil;;;T;N;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;04/10/1971;01/11/1971;01/11/1971;Público;"	-22:46:45,159";"	-48:10:55,951";-22,77921083;-48,18220861;SIRGAS2000;Definitiva;Vertical;;1659,5;;MR;502;;;;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;SC-60;SONDA CONVENCIONAL 60;;14/09/2025
1-AB-2-SE;9,012E+11;;1AB  0002  SE;SE;Sergipe;Brasil;;;T;N;1;Pioneiro;SECO SEM INDÍCIOS;ARRASADO;06/08/1969;22/10/1969;22/10/1969;Público;"	-11:03:14,474";"	-37:07:46,700";-11,05402056;-37,12963889;SIRGAS2000;Definitiva;Vertical;;2822;;MR;11;;;;;;;;;;Existe;;;;Existe;;;;;;;;;;;Existe;SC40;SONDA CONVENCIONAL 40;;14/09/2025
1-AC-1-PA;6,003E+11;;1AC  0001  PA;PA;Amazonas;Brasil;;;T;N;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO AGUARDANDO ABANDONO DEFINITIVO/ARRASAMENTO;25/04/1954;01/01/1955;01/01/1955;Público;"	-02:31:16,398";"	-54:58:31,269";-2,521221667;-54,9753525;SIRGAS2000;Definitiva;Vertical;;3579,8;;MR;18;;;;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;;SC-22;SONDA CONVENCIONAL 22;;14/09/2025
1-AD-1A-AM;1,403E+11;;1AD  0001A AM;AM;Amazonas;Brasil;;;T;N;1;Pioneiro;PORTADOR DE PETRÓLEO E GÁS NATURAL;ABANDONADO PERMANENTEMENTE;29/08/1958;30/11/1958;30/11/1958;Público;"	-03:18:07,446";"	-57:05:17,515";-3,302068333;-57,08819861;SIRGAS2000;Definitiva;Vertical;;3578;;MR;55;;;;;;;;;Existe;Existe;;;;Existe;;;;;;;;;;;Existe;SC-14;SONDA CONVENCIONAL 14;;14/09/2025
